Location,state,state_clean,city,lat,lng
"salt lake, utah, usa",utah,ut,salt lake,40.7606,-111.8881
"barren springs, virginia, usa",virginia,va,barren springs,36.9082,-80.8006
"nova, virginia, usa",virginia,va,nova,38.8051,-77.047
"potomac falls, virginia, usa",virginia,va,potomac falls,39.0365,-77.4002
"wirtz, virginia, usa",virginia,va,wirtz,37.0769,-79.8902
"castleton, vermont, usa",vermont,vt,castleton,43.6084,-73.2084
"center rutland, vermont, usa",vermont,vt,center rutland,43.6106,-72.9726
"independence, west virginia, usa",westvirginia,wv,independence,39.3931,-79.8717
"ona, west virginia, usa",westvirginia,wv,ona,38.425,-82.213
"saint albans, west virginia, usa",westvirginia,wv,saint albans,38.3794,-81.8192
